link,name,price
https://www.kyliecosmetics.com//collections/best-sellers/products/bare-velvet-lip-kit-coconut-combo?color=Kylie's Coconut + Bare Lip Kit Combo,Kylie's Coconut + Bare Lip Kit Combo,39.00
https://www.kyliecosmetics.com//collections/best-sellers/products/ice-me-out-kylighter?color=Ice Me Out,Ice Me Out | Kylighter,20.00
https://www.kyliecosmetics.com//collections/best-sellers/products/oh-you-fancy-high-gloss?color=Oh You Fancy?,Oh You Fancy? | High Gloss,16.00
https://www.kyliecosmetics.com//collections/best-sellers/products/daddys-girl-high-gloss?color=Daddy's Girl,Daddy's Girl | High Gloss,16.00
https://www.kyliecosmetics.com//collections/best-sellers/products/klear-high-gloss?color=Klear,Klear | High Gloss,16.00
https://www.kyliecosmetics.com//collections/best-sellers/products/posie-k-trio-lip-set?color=Posie K Trio,Posie K Trio | Lip Set,36.00
https://www.kyliecosmetics.com//collections/best-sellers/products/copy-of-posie-k-trio-lip-set?color=OG Trio,OG Trio | Lip Set,36.00
https://www.kyliecosmetics.com//collections/best-sellers/products/the-burgundy-palette-kyshadow?color=The Burgundy Palette,The Burgundy Palette | Kyshadow,42.00
https://www.kyliecosmetics.com//collections/best-sellers/products/kylie-cosmetics-bronze-extended-kyshadow?color=The Bronze Extended Palette,The Bronze Extended Palette | Kyshadow,45.00
https://www.kyliecosmetics.com//collections/best-sellers/products/the-sorta-sweet-palette-kyshadow?color=The Sorta Sweet Palette,The Sorta Sweet Palette | Kyshadow,42.00
https://www.kyliecosmetics.com//collections/best-sellers/products/the-wet-set-pressed-illuminating-powder-1?color=The Wet Set,The Wet Set | Pressed Illuminating Powder,62.00
https://www.kyliecosmetics.com//collections/best-sellers/products/kkw?color=KKW Crème Liquid Lipstick,KKW Crème Liquid Lipstick,45.00
https://www.kyliecosmetics.com//collections/best-sellers/products/posie-k?color=Posie K,Posie K | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/twenty-lip-kit-2?color=Twenty,Twenty | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/autumn-lip-kit?color=Autumn,Autumn | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/candy-k?color=Candy K,Candy K | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/koko-k?color=Koko K,Koko K | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/maryjo-k?color=Mary Jo K,Mary Jo K | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/dolcek-lip-kit?color=Dolce K,Dolce K | Lip Kit,29.00
https://www.kyliecosmetics.com//collections/best-sellers/products/kristen-lip-kit?color=Kristen,Kristen | Lip Kit,29.00
